         NOMBRE DE TORNEO,FECHA,       BUY IN,TOTAL PAGADO,ITM,    POSICIÓN,TOTAL PLAYERS,      PREMIO,TIPO,JUGADORES POR MESA,Mesa Final,CIEGAS INICIALES,TIEMPO POR NIVEL DE CIEGA (MINS),REGISTRO TARDIO (MINS),CIEGAS AL CIERRE DE BURBUJA
MINI HOT STACK 4000 E GTD,10/10/2024,"5,00 €","5,00 €",NO,206,972,"0,00 €",NORMAL,9,-197,500,5,90,0
BOUNTY BUILDER 1000 GTD,10/10/2024,"5,00 €","5,00 €",NO,312,560,"0,00 €",PKO,6,-306,24,5,24,0
MYSTERY FEVER 15000 GTD,12/10/2024,"10,00 €","10,00 €",SI,121,2054,"36,85 €",MYSTERY,8,-113,73,8,87,32
BOUNTY NIGHT 5000 E GTD,12/10/2024,"10,00 €","10,00 €",NO,207,613,"4,50 €",PKO,8,-199,125,8,100,0
KO PROGRESIVO 1000 E GTD,13/10/2024,"10,00 €","10,00 €",NO,63,176,"2,25 €",PKO,9,-54,50,6,48,0
MYSTERY FEVER 10000 E GTD,13/10/2024,"5,00 €","5,00 €",NO,1311,2865,"0,00 €",MYSTERY,8,-1303,50,8,67,0
EL CLASICO MYSTERY,13/10/2024,"10,00 €","10,00 €",NO,3697,6621,"0,00 €",MYSTERY,9,-3688,50,6,48,0
MYSTERY FEVER 10000 E GTD,13/10/2024,"10,00 €","10,00 €",NO,654,1876,"0,00 €",MYSTERY,8,-646,125,5,75,0
BOUNTY BUILDER 1000 GTD,13/10/2024,"5,00 €","5,00 €",SI,1,647,"439,38 €",PKO,6,5,100,5,85,26
MINI HOT STACK,13/10/2024,"5,00 €","5,00 €",NO,775,1476,"0,00 €",NORMAL,9,-766,500,5,90,0
KO PROGRESIVO 4000 E GTD,15/10/2024,"10,00 €","20,00 €",NO,328,522,"0,00 €",PKO,6,-322,100,10,111,0
SUPERSTACK 3000 E GTD,15/10/2024,"5,00 €","10,00 €",NO,418,649,"0,00 €",NORMAL,6,-412,200,10,141,0
MYSTERY FEVER 7500 E GTD,15/10/2024,"5,00 €","5,00 €",NO,809,1334,"0,00 €",MYSTERY,8,-801,100,8,105,0
BOUNTY BUILDER 2000 GTD,15/10/2024,"5,00 €","5,00 €",NO,313,616,"0,00 €",PKO,6,-307,66,8,73,0
MYSTERY FEVER 7500 E GTD,16/10/2024,"5,00 €","5,00 €",NO,503,2285,"0,00 €",MYSTERY,8,-495,49,8,74,0
SUPERSTACK 3000 E GTD,16/10/2024,"5,00 €","5,00 €",NO,450,825,"0,00 €",NORMAL,6,-444,30,10,42,0
MINI THUNDER 15000 E GTD,16/10/2024,"10,00 €","20,00 €",NO,442,2780,"2,25 €",PKO,8,-434,200,8,150,0
SUPER STACK 1000 E GTD,16/10/2024,"5,00 €","5,00 €",NO,151,171,"0,00 €",NORMAL,6,-145,100,8,95,0
BOUNTY BUILDER 5000E GTD,16/10/2024,"10,00 €","10,00 €",NO,337,621,"0,00 €",PKO,6,-331,200,8,135,0
MYSTERY FEVER 15000 GTD,16/10/2024,"10,00 €","10,00 €",SI,259,2189,"17,30 €",MYSTERY,8,-251,100,8,108,6
MYSTERY FEVER 10000 E GTD,16/10/2024,"5,00 €","5,00 €",NO,1174,1923,"0,00 €",MYSTERY,8,-1166,50,8,66,0
BOUNTY NIGHT 5000 E GTD,16/10/2024,"10,00 €","10,00 €",NO,250,655,"4,50 €",PKO,8,-242,100,8,100,0
KO PROGRESIVO 1000 E GTD,17/10/2024,"5,00 €","5,00 €",SI,52,341,"4,41 €",PKO,9,-43,50,5,18,10
KO PROGRESIVO 1500 GTD,17/10/2024,"10,00 €","10,00 €",NO,103,147,"0,00 €",PKO,6,-97,83,3,31,0
SUPER STACK 1500 E GTD,17/10/2024,"5,00 €","5,00 €",NO,243,843,"0,00 €",NORMAL,6,-237,50,5,46,0
MINI HOT STACK,17/10/2024,"5,00 €","5,00 €",SI,19,1188,"31,43 €",NORMAL,9,-10,250,5,71,11
MYSTERY FEVER 10000 E GTD,17/10/2024,"10,00 €","10,00 €",NO,769,1235,"0,00 €",MYSTERY,8,-761,31,5,25,0
ULTRA KO 2000 E GTD,17/10/2024,"20,00 €","20,00 €",NO,9,242,"82,00 €",PKO,6,-3,200,5,71,0
KO PROGRESIVO 500 E GTD,18/10/2024,"5,00 €","5,00 €",NO,63,173,"0,00 €",PKO,9,-54,40,8,22,0
KO PROGRESIVO 1000 E GTD,18/10/2024,"10,00 €","10,00 €",NO,66,175,"4,50 €",PKO,9,-57,25,6,33,0
SUPER STACK 5000 E GTD,18/10/2024,"5,00 €","5,00 €",SI,14,253,"21,37 €",NORMAL,6,-8,31,10,32,70
MINI THUNDER 15000 E GTD,28/10/2024,"10,00 €","10,00 €",NO,726,1702,"0,00 €",PKO,8,-718,50,8,78,0
BOUNTY BUILDER 5000E GTD,28/10/2024,"10,00 €","10,00 €",NO,359,461,"0,00 €",PKO,6,-353,100,8,121,0
MYSTERY FEVER 10000 E GTD,28/10/2024,"5,00 €","10,00 €",NO,919,1197,"0,00 €",MYSTERY,8,-911,125,8,120,0
BOUNTY NIGHT 5000 E GTD,28/10/2024,"10,00 €","10,00 €",NO,337,480,"2,25 €",PKO,8,-329,166,8,110,0
MYSTERY FEVER 15000 GTD,28/10/2024,"10,00 €","10,00 €",NO,659,1021,"0,00 €",MYSTERY,8,-651,71,8,82,0
MYSTERY FEVER 10000 E GTD,29/10/2024,"10,00 €","10,00 €",SI,107,1217,"19,01 €",MYSTERY,8,-99,63,8,87,37
PROGRESIVE KO 2000 E GTD,29/10/2024,"10,00 €","10,00 €",NO,93,360,"2,25 €",PKO,6,-87,40,10,68,0
PROGRESIVE KO 4000 E GTD,29/10/2024,"10,00 €","10,00 €",SI,59,779,"32,36 €",PKO,6,-53,125,10,123,57
MYSTERY FEVER 7500 E GTD,29/10/2024,"5,00 €","10,00 €",NO,1121,3211,"0,00 €",MYSTERY,8,-1113,71,8,90,0
MINI THUNDER 30000 E GTD,29/10/2024,"10,00 €","10,00 €",NO,1619,2832,"0,00 €",MYSTERY,8,-1611,166,8,140,0
MYSTERY FEVER 10000 E GTD,29/10/2024,"10,00 €","10,00 €",NO,751,1444,"0,00 €",MYSTERY,8,-743,62,5,50,0
BOUNTY BUILDER 1000 GTD,29/10/2024,"5,00 €","5,00 €",NO,245,511,"0,00 €",PKO,6,-239,83,5,58,0
MINI HOT STACK 4000 E GTD,29/10/2024,"5,00 €","5,00 €",NO,615,1108,"0,00 €",NORMAL,9,-606,500,5,90,0
BOUNTY BUILDER 3000 GTD,29/10/2024,"10,00 €","10,00 €",SI,25,463,"29,48 €",PKO,6,-19,100,4,65,29
SUPER STACK 1500 E GTD,30/10/2024,"5,00 €","5,00 €",NO,108,479,"0,00 €",NORMAL,6,-102,20,5,16,0
KO PROGRESIVO 1000 E GTD,30/10/2024,"5,00 €","5,00 €",NO,124,257,"1,13 €",PKO,6,-118,66,5,31,0
MYSTERY FEVER 9000 E GTD,30/10/2024,"10,00 €","20,00 €",NO,466,1034,"0,00 €",MYSTERY,8,-458,71,8,90,0
ULTRA KO 1500 E GTD,30/10/2024,"10,00 €","10,00 €",NO,32,267,"16,00 €",PKO,6,-26,166,8,105,0
SAMURAI,30/10/2024,"5,00 €","5,00 €",NO,909,2348,"0,00 €",PKO,6,-903,40,5,25,0
MINI THUNDER 15000 E GTD,30/10/2024,"10,00 €","20,00 €",NO,859,1807,"0,00 €",PKO,8,-851,50,8,80,0
BOUNTY BUILDER 5000E GTD,30/10/2024,"10,00 €","10,00 €",NO,338,556,"0,00 €",PKO,6,-332,100,8,123,0
MYSTERY FEVER 10000 E GTD,30/10/2024,"5,00 €","5,00 €",NO,1063,1663,"0,00 €",MYSTERY,8,-1055,125,8,120,0
BOUNTY NIGHT 5000 E GTD,30/10/2024,"10,00 €","10,00 €",NO,326,357,"0,00 €",PKO,8,-318,100,8,99,0
BIG BANG,30/10/2024,"5,00 €","5,00 €",NO,892,2432,"0,00 €",PKO,6,-886,50,6,30,0
TOTEM,30/10/2024,"5,00 €","5,00 €",SI,78,818,"7,88 €",NORMAL,6,-72,100,5,53,7
MYSTERY FEVER 10000 E GTD,30/10/2024,"10,00 €","10,00 €",SI,231,1391,"16,05 €",MYSTERY,8,-223,125,5,75,1
BOUNTY BUILDER 1000 GTD,30/10/2024,"5,00 €","5,00 €",NO,306,382,"0,00 €",PKO,6,-300,100,5,85,0
MINI HOT BIG STACK,30/10/2024,"5,00 €","5,00 €",NO,629,869,"0,00 €",NORMAL,9,-620,500,5,90,0
KO PROGRESIVO 1000 E GTD,31/10/2024,"5,00 €","5,00 €",NO,160,285,"1,13 €",PKO,9,-151,166,5,54,0
SUPER STACK 1500 E GTD,31/10/2024,"5,00 €","5,00 €",NO,101,476,"0,00 €",NORMAL,6,-95,200,5,90,0
KO PROGRESIVO 1000 E GTD,31/10/2024,"5,00 €","10,00 €",SI,21,288,"25,65 €",PKO,6,-15,166,5,53,8
MINI HOT STACK 4000 E GTD,31/10/2024,"5,00 €","5,00 €",NO,568,1207,"0,00 €",NORMAL,9,-559,31,5,16,0
BOUNTY BUILDER 2000 GTD,1/11/2024,"10,00 €","20,00 €",NO,211,654,"0,00 €",PKO,6,-205,100,5,47,0
KO PROGRESIVO 1000 E GTD,1/11/2024,"5,00 €","10,00 €",NO,236,269,"1,13 €",PKO,6,-230,200,5,58,0
KO PROGRESIVO 1500 GTD,1/11/2024,"10,00 €","10,00 €",SI,30,230,"13,64 €",PKO,6,-24,50,3,25,7
MYSTERY FEVER 10000 E GTD,1/11/2024,"10,00 €","10,00 €",NO,799,2124,"0,00 €",MYSTERY,8,-791,71,5,55,0
BOUNTY BUILDER 1000 GTD,1/11/2024,"5,00 €","5,00 €",NO,305,643,"2,26 €",PKO,6,-299,100,5,61,0
MINI HOT STACK 4000 E GTD,1/11/2024,"5,00 €","10,00 €",NO,620,1284,"0,00 €",NORMAL,9,-611,500,5,90,0
MYSTERY KO,1/11/2024,"5,00 €","5,00 €",SI,104,1891,"23,44 €",MYSTERY,6,-98,100,3,41,43
KO PROGRESIVO 1000 E GTD,2/11/2024,"5,00 €","5,00 €",NO,214,401,"0,00 €",PKO,9,-205,166,5,54,0
NOCHE BLANCA,2/11/2024,"5,00 €","5,00 €",SI,101,1569,"14,02 €",PKO,6,-95,100,5,67,57
SUPER STACK 1500 E GTD,2/11/2024,"5,00 €","5,00 €",NO,306,561,"0,00 €",NORMAL,6,-300,200,5,90,0
KO PROGRESIVO 1000 E GTD,2/11/2024,"5,00 €","5,00 €",SI,2,378,"201,12 €",PKO,6,4,125,5,43,13
KO PROGRESIVO 1000 E GTD,2/11/2024,"5,00 €","5,00 €",NO,175,371,"0,00 €",PKO,6,-169,50,10,45,0
MYSTERY KO,2/11/2024,"5,00 €","5,00 €",SI,20,838,"20,14 €",MYSTERY,6,-14,100,7,74,30
DESPERADO 3000E GTD,2/11/2024,"5,00 €","5,00 €",NO,658,2312,"0,00 €",PKO,6,-652,100,6,90,0
KO PROGRESIVO 2000 E GTD,2/11/2024,"10,00 €","10,00 €",NO,139,326,"4,50 €",PKO,9,-130,40,10,65,0
KO PROGRESIVO 400 E GTD,2/11/2024,"3,00 €","3,00 €",SI,5,228,"29,09 €",PKO,8,3,14,8,9,40
SCOOP SAT,3/11/2024,"3,00 €","3,00 €",NO,31,78,"0,00 €",SAT,6,-25,50,5,20,0
THE CLASSIC SCOOP ,3/11/2024,"10,00 €","10,00 €",NO ,4364,7589,"0,00 €",PKO,9,-4355,100,6,113,0
SECOOP SAT,3/11/2024,"2,50 €","2,50 €",NO,10,18,"0,00 €",SAT,8,-2,50,5,23,0
MYSTERY FEVER 10000 E GTD,3/11/2024,"5,00 €","5,00 €",SI,21,2975,"54,55 €",MYSTERY,8,-13,84,8,102,40
SECOOP SAT,3/11/2024,"3,00 €","3,00 €",NO,32,90,"0,00 €",SAT,6,-26,33,5,18,0
SECOOP SAT,3/11/2024,"5,00 €","5,00 €",NO,21,37,"0,00 €",SAT,8,-13,100,5,30,0
SECOOP FASTER 20K GTD,3/11/2024,"10,00 €","10,00 €",NO,1342,2987,"0,00 €",NORMAL,6,-1336,200,5,100,0
SECOOP SAT,3/11/2024,"2,00 €","2,00 €",NO,16,51,"0,00 €",SAT,8,-8,40,3,12,0
BIG BANG,3/11/2024,"5,00 €","5,00 €",NO,931,2321,"0,00 €",PKO,6,-925,67,6,51,0
NINJA,3/11/2024,"10,00 €","10,00 €",NO,1056,3111,"0,00 €",PKO,6,-1050,100,5,76,0
BOUNTY BUILDER 1000 GTD,3/11/2024,"5,00 €","5,00 €",SI,5,522,"84,19 €",PKO,6,1,100,5,80,37
MINI HOT STACK,3/11/2024,"5,00 €","10,00 €",NO,567,1164,"0,00 €",NORMAL,9,-558,312,5,78,0
DESPERADO 3000E GTD,4/11/2024,"5,00 €","5,00 €",NO,185,924,"0,00 €",PKO,6,-179,30,6,19,0
SUPER STACK 2000 E GTD,4/11/2024,"5,00 €","5,00 €",NO,210,237,"0,00 €",NORMAL,6,-204,41,10,55,0
MYSTERY FEVER 9000 E GTD,5/11/2024,"10,00 €","10,00 €",NO,434,1020,"0,00 €",MYSTERY,8,-426,35,8,56,0
SCOOP SAT,5/11/2024,"2,50 €","2,50 €",SI,1,50,"0,00 €",SAT,8,7,100,5,27,0
MYSTERY FEVER 7500 E GTD,5/11/2024,"5,00 €","5,00 €",NO,408,1654,"0,00 €",MYSTERY,8,-400,71,8,90,0
SCOOP SAT,5/11/2024,"3,00 €","3,00 €",NO,21,38,"0,00 €",SAT,8,-13,33,5,15,0
SECOOP MINI ELIMINATOR,5/11/2024,"10,00 €","10,00 €",NO,2086,4895,"0,00 €",PKO,6,-2080,200,10,185,0
SECOOP ELIMINATOR,5/11/2024,"50,00 €","0,00 €",NO,616,724,"0,00 €",MYSTERY,8,-608,200,10,185,0
SECOOP SAT,5/11/2024,"3,00 €","3,00 €",NO,11,46,"0,00 €",SAT,8,-3,100,5,30,0
SECOOP SAT,5/11/2024,"2,00 €","2,00 €",SI,1,92,"0,00 €",SAT,8,7,100,5,30,0
SECOOP SAT,5/11/2024,"10,00 €","10,00 €",NO,31,62,"0,00 €",SAT,8,-23,25,5,7,0
SECOOP SAT,5/11/2024,"5,00 €","5,00 €",SI,2,57,"0,00 €",SAT,8,6,50,5,21,0
SECOOP SAT,5/11/2024,"3,00 €","3,00 €",NO,23,32,"0,00 €",SAT,6,-17,33,5,17,0
SECOOP ROYAL RUMBLE,5/11/2024,"20,00 €","0,00 €",NO,1046,1261,"0,00 €",MYSTERY,7,-1039,125,10,150,0
SECOOP SAT,5/11/2024,"3,00 €","3,00 €",NO,20,25,"0,00 €",SAT,6,-14,100,5,27,0
SECOOP GIGA STACK,5/11/2024,"50,00 €","0,00 €",NO,284,523,"28,13 €",PKO,9,-275,125,8,111,0
BIG BANG,5/11/2024,"5,00 €","5,00 €",SI,94,1619,"12,89 €",PKO,6,-88,65,6,54,21
SECOOP FASTER 10K GTD,5/11/2024,"10,00 €","10,00 €",NO,647,1692,"0,00 €",NORMAL,6,-641,200,5,100,0
TOTEM,5/11/2024,"5,00 €","5,00 €",NO,389,648,"0,00 €",NORMAL,6,-383,100,5,75,0
MYSTERY FEVER 10000 E GTD,5/11/2024,"10,00 €","10,00 €",NO,357,492,"0,00 €",MYSTERY,8,-349,75,5,57,0
MYSTERY KO,5/11/2024,"5,00 €","5,00 €",NO,321,789,"0,00 €",MYSTERY,6,-315,100,5,33,0
 MINI HOT STACK,5/11/2024,"5,00 €","5,00 €",NO,583,780,"0,00 €",NORMAL,9,-574,125,5,55,0
BOUNTY BUILDER 1000 GTD,5/11/2024,"5,00 €","5,00 €",NO,133,567,"0,00 €",PKO,6,-127,20,5,19,0
FAST FOOD,6/11/2024,"5,00 €","5,00 €",NO,157,877,"2,26 €",PKO,8,-149,67,2,17,0
KO PROGRESIVO 500 E GTD,6/11/2024,"3,00 €","3,00 €",NO,55,189,"1,36 €",PKO,9,-46,65,8,38,0
KO PROGRESIVO 1000 E GTD,6/11/2024,"5,00 €","5,00 €",NO,133,200,"0,00 €",PKO,6,-127,125,10,96,0
MYSTERY KO,6/11/2024,"5,00 €","5,00 €",SI,2,633,"292,67 €",MYSTERY,6,4,100,7,105,9
KO PROGRESIVO 2000 E GTD,6/11/2024,"10,00 €","10,00 €",NO,132,313,"0,00 €",PKO,9,-123,125,10,122,0
SUPER STACK 2000 E GTD,6/11/2024,"5,00 €","5,00 €",NO,198,226,"0,00 €",NORMAL,6,-192,125,10,123,0
MYSTERY FEVER 7500 E GTD,6/11/2024,"5,00 €","5,00 €",NO,586,685,"0,00 €",MYSTERY,8,-578,100,8,106,0
BOUNTY BUILDER 2000 GTD,6/11/2024,"5,00 €","5,00 €",NO,316,498,"0,00 €",PKO,6,-310,100,8,90,0
SECOOP SAT,6/11/2024,"5,00 €","10,00 €",SI,1,49,"0,00 €",SAT,8,7,100,5,30,0
GUERRILLA ,6/11/2024,"5,00 €","5,00 €",NO,1346,4321,"0,00 €",PKO,6,-1340,100,5,75,0
SECOOP SAT,6/11/2024,"2,50 €","2,50 €",NO,23,42,"0,00 €",SAT,8,-15,17,5,5,0
ESCOOP MIDWEEK,6/11/2024,"100,00 €","0,00 €",NO,256,432,"0,00 €",MYSTERY,8,-248,125,12,205,0
ESCOOP BOUNTY STARS,6/11/2024,"10,00 €","20,00 €",SI,115,2970,"30,10 €",PKO,8,-107,125,8,135,62
BIG BANG,6/11/2024,"5,00 €","5,00 €",NO,848,2122,"0,00 €",PKO,6,-842,80,6,55,0
SECOOP FASTER,6/11/2024,"10,00 €","10,00 €",NO,648,1354,"0,00 €",NORMAL,8,-640,166,5,90,0
MINI HOT STACK,6/11/2024,"5,00 €","5,00 €",SI,46,1063,"20,53 €",NORMAL,9,-37,125,5,57,11
FAST FOOD,7/11/2024,"5,00 €","5,00 €",NO,153,903,"7,60 €",PKO,9,-144,67,2,16,0
MYSTERY KO,7/11/2024,"5,00 €","5,00 €",NO,302,788,"0,00 €",MYSTERY,6,-296,28,7,18,0
BOWLING,7/11/2024,"5,00 €","5,00 €",NO,355,1040,"2,82 €",PKO,6,-349,80,5,44,0
KO PROGRESIVO 1000 E GTD,7/11/2024,"5,00 €","5,00 €",NO,145,236,"1,13 €",PKO,6,-139,100,10,80,0
ESCOOP SUBSAT,7/11/2024,"2,00 €","2,00 €",NO,11,17,"0,00 €",SAT,8,-3,30,5,17,0
ESCOOP SUBSAT,7/11/2024,"4,00 €","4,00 €",NO,10,13,"0,00 €",SAT,6,-4,15,5,10,0
ESCOOP SAT,7/11/2024,"1,00 €","1,00 €",NO,38,42,"0,00 €",SAT,8,-30,30,5,20,0
ESCOOP GIGA STACK,7/11/2024,"10,00 €","10,00 €",NO,2211,5432,"0,00 €",PKO,6,-2205,205,8,140,0
MYSTERY KO,7/11/2024,"5,00 €","5,00 €",NO,321,923,"0,00 €",MYSTERY,8,-313,100,6,58,0
ESCOOP SAT,7/11/2024,"1,00 €","1,00 €",SI,8,99,"0,00 €",SAT,8,0,30,5,15,0
ESCOOP SAT,7/11/2024,"3,00 €","3,00 €",NO,12,39,"0,00 €",SAT,8,-4,30,5,15,0
BIG BANG,7/11/2024,"5,00 €","5,00 €",NO,730,1538,"0,00 €",PKO,6,-724,100,6,72,0
ESCOOP SAT,7/11/2024,"3,00 €","3,00 €",NO,13,52,"0,00 €",SAT,8,-5,20,5,11,0
POKUS SERIES,7/11/2024,"10,00 €","10,00 €",NO,836,5386,"0,00 €",MYSTERY,6,-830,33,5,16,0
POKUS SERIES 106,7/11/2024,"5,00 €","5,00 €",NO,733,4384,"0,00 €",MYSTERY,8,-725,40,4,20,0
POKUS SERIES GRYPHON,7/11/2024,"5,00 €","5,00 €",NO,72,78,"0,00 €",NORMAL,7,-65,25,3,15,0
MYSTERY KO,8/11/2024,"5,00 €","5,00 €",NO,317,788,"0,00 €",MYSTERY,6,-311,28,7,21,0
SUPER STACK 2000 E GTD,8/11/2024,"5,00 €","5,00 €",SI,36,601,"15,68 €",NORMAL,6,-30,62,10,75,97
DESPERADO 3000E GTD,8/11/2024,"5,00 €","5,00 €",NO,276,985,"0,00 €",PKO,6,-270,28,6,15,0
MYSTERY KO,8/11/2024,"2,00 €","2,00 €",NO,200,711,"0,00 €",MYSTERY,6,-194,25,6,7,0
ESCOOP SAT,8/11/2024,"3,00 €","3,00 €",NO,9,44,"0,00 €",SAT,8,-1,100,5,30,0
ESCOOP FASTER,8/11/2024,"10,00 €","10,00 €",NO,445,1002,"0,00 €",NORMAL,6,-439,14,5,32,0
KO PROGRESIVO 1000 E GTD,9/11/2024,"5,00 €","5,00 €",SI,22,392,"29,97 €",PKO,6,-16,89,10,66,128
SUPER STACK 2000 E GTD,9/11/2024,"5,00 €","5,00 €",SI,11,238,"25,56 €",NORMAL,6,-5,19,10,9,26
MYSTERY KO,10/11/2024,"5,00 €","5,00 €",NO,307,1012,"0,00 €",MYSTERY,6,-301,28,6,22,0
DESPERADO 3000E GTD,10/11/2024,"5,00 €","5,00 €",NO,365,1421,"0,00 €",PKO,6,-359,40,5,41,0
MONSTER STACK,10/11/2024,"5,00 €","5,00 €",NO,82,271,"0,00 €",NORMAL,6,-76,20,8,12,0
MYSTERY KO,10/11/2024,"1,00 €","1,00 €",NO,162,781,"0,00 €",MYSTERY,6,-156,25,7,10,0
SUPERSTACK 2500 E GTD,10/11/2024,"5,00 €","5,00 €",SI,88,803,"10,71 €",NORMAL,6,-82,40,10,50,59
KO PROGRESIVO 3000 GTD,10/11/2024,"10,00 €","10,00 €",NO,119,380,"0,00 €",PKO,9,-110,14,10,17,0
PLANET POK,11/11/2024,"2,00 €","2,00 €",NO,799,3326,"0,00 €",PKO,6,-793,20,6,4,0
W POKUS CRYSTAL BALL,12/11/2024,"5,00 €","5,00 €",NO,1578,4532,"0,00 €",NORMAL,8,-1570,100,8,131,0
SUPER STACK 3000 E GTD,12/11/2024,"5,00 €","5,00 €",NO,285,997,"0,00 €",NORMAL,6,-279,50,10,71,0
MYSTERY FEVER 7500 E GTD,12/11/2024,"5,00 €","5,00 €",SI,336,2077,"7,80 €",MYSTERY,8,-328,80,8,99,13
SECOOP MINI ELIMINATOR,12/11/2024,"10,00 €","10,00 €",SI,292,5996,"30,51 €",PKO,6,-286,200,10,185,85
SECOOP SAT,12/11/2024,"2,00 €","2,00 €",SI,1,49,"0,00 €",SAT,8,7,50,5,25,6
SECOOP GIGA STACK,12/11/2024,"20,00 €","0,00 €",NO,640,871,"0,00 €",NORMAL,8,-632,100,10,106,0
ESCOOP SAT,12/11/2024,"2,00 €","2,00 €",NO,17,32,"0,00 €",SAT,6,-11,100,5,30,0
W POKUS SPIRIT,12/11/2024,"10,00 €","10,00 €",NO,2664,6121,"0,00 €",MYSTERY,6,-2658,80,5,41,0
SECOOP FASTER,12/11/2024,"10,00 €","10,00 €",NO,757,1558,"0,00 €",NORMAL,6,-751,125,5,90,0
W POKUS BASILIK,12/11/2024,"5,00 €","10,00 €",SI,359,3802,"9,77 €",PKO,8,-351,100,5,57,14
MINI HOT STACK,12/11/2024,"5,00 €","5,00 €",NO,517,657,"0,00 €",NORMAL,9,-508,62,5,44,0
W POKUS TRIDENT,13/11/2024,"2,00 €","2,00 €",NO,729,3815,"0,00 €",MYSTERY,7,-722,15,2,8,0
W POKUS CRYSTAL BALL,13/11/2024,"5,00 €","5,00 €",SI,79,5629,"34,08 €",PKO,6,-73,100,8,110,30
SECOOP SAT,13/11/2024,"1,00 €","1,00 €",NO,6,65,"0,00 €",SAT,6,0,50,5,20,0
MYSTERY KO,13/11/2024,"5,00 €","5,00 €",NO,544,2347,"0,00 €",MYSTERY,6,-538,80,7,60,0
W POKUS SPIRIT,13/11/2024,"5,00 €","5,00 €",NO,1720,6950,"0,00 €",MYSTERY,7,-1713,66,5,45,0
KO PROGRESIVO 1000 E GTD,14/11/2024,"5,00 €","5,00 €",NO,167,391,"0,00 €",PKO,6,-161,25,8,25,0
SECOOP FASTER 10000GTD,14/11/2024,"10,00 €","10,00 €",NO,973,1321,"0,00 €",NORMAL,8,-965,83,5,77,0
MYSTERY FEVER 10000 E GTD,14/11/2024,"10,00 €","10,00 €",NO,568,1284,"0,00 €",MYSTERY,8,-560,125,5,75,0
ROCKET,14/11/2024,"5,00 €","5,00 €",NO,690,812,"0,00 €",PKO,8,-682,100,2,38,0
BOUNTY BUILDER 1000 GTD,14/11/2024,"5,00 €","5,00 €",NO,341,674,"0,00 €",PKO,6,-335,100,5,67,0
MYSTERY KO,14/11/2024,"5,00 €","5,00 €",NO,584,1763,"0,00 €",MYSTERY,6,-578,100,3,42,0
MINI HOT STACK,14/11/2024,"5,00 €","5,00 €",NO,571,1171,"0,00 €",NORMAL,9,-562,208,5,65,0
FAST FOOD,15/11/2024,"5,00 €","5,00 €",NO,333,912,"0,00 €",PKO,8,-325,20,2,3,0
KO PROGRESIVO 1000 E GTD,16/11/2024,"5,00 €","5,00 €",SI,18,392,"16,89 €",PKO,6,-12,33,10,27,20
MYSTERY KO,16/11/2024,"5,00 €","5,00 €",NO,887,2312,"0,00 €",MYSTERY,8,-879,33,6,15,0
TIEMPO DE JUEGO,16/11/2024,"5,00 €","5,00 €",NO,1892,6212,"0,00 €",PKO,6,-1886,57,5,31,0
SECOOP ROYAL RUMBLE,16/11/2024,"10,00 €","10,00 €",NO,2121,7842,"0,00 €",MYSTERY,7,-2114,100,10,132,0
SECOOP FASTER,16/11/2024,"10,00 €","10,00 €",NO,580,800,"0,00 €",NORMAL,9,-571,200,5,100,0
MYSTERY FEVER 10000 E GTD,16/11/2024,"10,00 €","10,00 €",NO,302,942,"0,00 €",MYSTERY,8,-294,125,5,75,0
BOUNTY BUILDER 1000 GTD,16/11/2024,"5,00 €","10,00 €",NO,200,546,"1,97 €",PKO,6,-194,100,5,82,0
MINI HOT STACK,16/11/2024,"5,00 €","5,00 €",NO,623,1058,"0,00 €",NORMAL,9,-614,50,5,33,0
BOUNTY BUILDER 3000 GTD,17/11/2024,"10,00 €","10,00 €",SI,24,477,"30,03 €",PKO,6,-18,100,4,55,53
MYSTERY FEVER 7500 GTD,18/11/2024,"5,00 €","5,00 €",SI,263,2236,"8,64 €",MYSTERY,8,-255,41,8,68,39
SUPER STACK 3000 E GTD,18/11/2024,"5,00 €","5,00 €",NO,421,921,"0,00 €",NORMAL,6,-415,31,10,38,0
SECOOP SAT,18/11/2024,"1,50 €","1,50 €",SI,1,23,"0,00 €",SAT,8,7,33,5,15,19
SECOOP SAT,18/11/2024,"2,00 €","2,00 €",NO,39,113,"0,00 €",SAT,8,-31,33,5,15,0
SECOOP SAT,18/11/2024,"2,00 €","2,00 €",NO,56,68,"0,00 €",SAT,6,-50,33,5,20,0
SECOOP BIGGER,18/11/2024,"30,00 €","0,00 €",NO,283,412,"0,00 €",NORMAL,9,-274,200,8,160,0
MYSTERY KO,18/11/2024,"5,00 €","5,00 €",NO,654,1023,"0,00 €",MYSTERY,8,-646,33,6,43,0
BIG BANG,18/11/2024,"5,00 €","5,00 €",NO,1921,4321,"0,00 €",PKO,6,-1915,100,6,90,0
EL TOTEM,18/11/2024,"10,00 €","10,00 €",NO,240,798,"0,00 €",NORMAL,6,-234,100,5,80,0
ESCOOP FASTER,18/11/2024,"10,00 €","10,00 €",SI,195,1823,"20,97 €",NORMAL,6,-189,100,5,83,15
SUPER STACK 3000 E GTD,19/11/2024,"5,00 €","5,00 €",SI,45,938,"20,61 €",NORMAL,6,-39,35,10,47,43
MYSTERY FEVER 7500 GTD,19/11/2024,"5,00 €","5,00 €",NO,763,2964,"0,00 €",MYSTERY,8,-755,50,8,75,0
