fecha,buy_in,total_pagado,itm,posicion,total_jugadores,premio,tipo,jugadores_por_mesa,mesa_final,ciegas_iniciales,tiempo_de_ciega,registro_tardio,ciegas_en_burbuja
2024-09-19,"5,00","5,00",False,215,282,"0,00",NORMAL,6,False,"200,00",5,"90,00","0,00"
2024-09-19,"10,00","10,00",True,8,198,"58,28",PKO,6,False,"50,00",5,"25,00","6,00"
2024-09-19,"5,00","5,00",False,333,846,"0,00",MYSTERY,6,False,"66,00",5,"28,00","0,00"
2024-09-19,"10,00","10,00",True,20,133,"15,56",PKO,9,False,"49,00",6,"54,00","6,00"
2024-09-19,"5,00","10,00",False,401,876,"1,13",PKO,6,False,"96,00",5,"64,00","0,00"
2024-09-19,"5,00","5,00",False,138,304,"0,00",PKO,6,False,"33,00",5,"20,00","0,00"
2024-09-19,"10,00","10,00",False,35,122,"0,00",NORMAL,6,False,"31,00",8,"31,00","0,00"
2024-09-19,"10,00","10,00",False,473,1230,"0,00",MYSTERY,8,False,"50,00",5,"38,00","0,00"
2024-09-19,"10,00","10,00",False,1035,1748,"0,00",NORMAL,6,False,"24,00",6,"23,00","0,00"
2024-09-19,"5,00","5,00",True,31,1066,"26,93",NORMAL,9,False,"250,00",5,"72,00","29,00"
2024-09-19,"10,00","10,00",False,756,1750,"2,25",PKO,6,False,"100,00",3,"35,00","0,00"
2024-09-21,"5,00","5,00",True,81,582,"7,98",NORMAL,6,False,"71,00",6,"57,00","8,00"
2024-09-20,"5,00","5,00",False,249,811,"0,00",NORMAL,6,False,"19,00",6,"0,00","0,00"
2024-09-20,"2,00","2,00",False,26,80,"0,00",NORMAL,9,False,"17,00",5,"4,00","0,00"
2024-09-22,"8,00","8,00",False,9,44,"0,00",SAT,8,False,"75,00",5,"30,00","0,00"
2024-09-22,"10,00","10,00",True,46,1404,"87,66",MYSTERY,8,False,"71,00",8,"90,00","12,00"
2024-09-22,"5,00","5,00",False,7,12,"0,00",SAT,6,False,"50,00",3,"30,00","0,00"
2024-09-22,"5,00","5,00",False,620,860,"0,00",NORMAL,9,False,"200,00",8,"130,00","0,00"
2024-09-22,"10,00","10,00",False,2073,6648,"12,38",PKO,8,False,"400,00",10,"180,00","0,00"
2024-09-22,"10,00","10,00",False,4095,6606,"0,00",MYSTERY,9,False,"100,00",6,"145,00","0,00"
2024-09-22,"0,00","0,00",False,313,469,"0,00",NORMAL,8,False,"100,00",5,"55,00","0,00"
2024-09-22,"6,00","6,00",False,61,110,"0,00",SAT,6,False,"100,00",5,"30,00","0,00"
2024-09-22,"5,00","5,00",False,2910,6543,"0,00",PKO,6,False,"80,00",5,"42,00","0,00"
2024-09-22,"3,00","3,00",False,21,42,"0,00",SAT,8,False,"100,00",5,"30,00","0,00"
2024-09-22,"5,00","5,00",False,910,1156,"0,00",PKO,6,False,"100,00",5,"76,00","0,00"
2024-09-22,"10,00","20,00",False,535,1694,"0,00",MYSTERY,8,False,"125,00",5,"75,00","0,00"
2024-09-22,"5,00","5,00",False,316,551,"2,26",PKO,6,False,"100,00",5,"90,00","0,00"
2024-09-22,"5,00","5,00",False,654,877,"0,00",NORMAL,9,False,"84,00",5,"50,00","0,00"
2024-09-22,"20,00","20,00",False,135,165,"0,00",NORMAL,8,False,"83,00",3,"23,00","0,00"
2024-09-23,"5,00","5,00",False,201,292,"0,00",PKO,9,False,"50,00",5,"22,00","0,00"
2024-09-23,"10,00","10,00",False,74,87,"0,00",PKO,6,False,"124,00",5,"36,00","0,00"
2024-09-23,"5,00","5,00",False,547,1043,"0,00",PKO,6,False,"57,00",5,"33,00","0,00"
2024-09-24,"5,00","10,00",False,612,1073,"0,00",NORMAL,9,False,"312,00",5,"86,00","0,00"
2024-09-24,"10,00","20,00",False,285,1283,"0,00",MYSTERY,8,False,"31,00",5,"31,00","0,00"
2024-09-24,"5,00","5,00",False,274,398,"0,00",PKO,6,False,"39,00",5,"35,00","0,00"
2024-09-25,"10,00","10,00",False,247,390,"2,81",PKO,6,False,"66,00",4,"40,00","0,00"
2024-09-25,"5,00","5,00",False,193,270,"0,00",PKO,9,False,"200,00",58,"46,00","0,00"
2024-09-25,"10,00","10,00",True,16,207,"28,95",NORMAL,6,False,"12,00",5,"7,00","11,00"
2024-09-25,"1,00","1,00",True,0,4,"35,00",PKO,7,True,"22,00",2,"0,00","0,00"
2024-09-27,"5,00","5,00",True,203,1137,"7,97",NORMAL,9,False,"20,00",5,"5,00","1,00"
2024-09-27,"10,00","10,00",True,24,554,"31,18",PKO,6,False,"66,00",4,"38,00","43,00"
2024-09-27,"10,00","20,00",False,847,1290,"0,00",MYSTERY,8,False,"50,00",5,"46,00","0,00"
2024-09-27,"5,00","5,00",False,692,1148,"0,00",NORMAL,9,False,"500,00",5,"87,00","0,00"
2024-09-27,"5,00","5,00",True,94,1478,"11,92",MYSTERY,6,False,"29,00",3,"8,00","40,00"
2024-09-28,"10,00","10,00",False,122,524,"0,00",PKO,6,False,"66,00",4,"38,00","0,00"
2024-09-28,"5,00","5,00",False,125,363,"0,00",PKO,9,False,"25,00",5,"7,00","0,00"
2024-09-28,"5,00","5,00",False,286,561,"0,00",NORMAL,6,False,"19,00",5,"21,00","0,00"
2024-09-28,"5,00","5,00",True,23,609,"23,27",NORMAL,6,False,"124,00",10,"131,00","85,00"
2024-09-28,"5,00","5,00",False,569,1033,"1,69",PKO,6,False,"120,00",6,"90,00","0,00"
2024-09-28,"5,00","5,00",False,264,720,"0,00",MYSTERY,6,False,"20,00",7,"4,00","0,00"
2024-09-29,"10,00","20,00",False,631,1944,"0,00",MYSTERY,8,False,"42,00",5,"67,00","0,00"
2024-09-29,"2,00","2,00",False,74,99,"0,00",SAT,8,False,"99,00",5,"12,00","0,00"
2024-09-29,"1,00","1,00",False,12,21,"0,00",SAT,8,False,"16,00",5,"6,00","0,00"
2024-09-29,"5,00","5,00",False,32,78,"0,00",SAT,6,False,"100,00",5,"21,00","0,00"
2024-09-29,"2,00","2,00",False,45,54,"0,00",SAT,8,False,"34,00",5,"17,00","0,00"
2024-09-29,"20,00","20,00",True,474,4320,"51,98",PKO,8,False,"400,00",10,"188,00","36,00"
2024-09-29,"10,00","10,00",False,22,56,"0,00",SAT,6,False,"100,00",5,"30,00","0,00"
2024-09-29,"5,00","5,00",True,81,1449,"18,15",NORMAL,9,False,"25,00",8,"37,00","83,00"
2024-09-29,"2,00","2,00",True,1,157,"0,00",SAT,8,True,"100,00",5,"30,00","0,00"
2024-09-29,"5,00","5,00",False,1182,1980,"0,00",MYSTERY,8,False,"83,00",8,"95,00","0,00"
2024-09-29,"20,00","0,00",False,2858,6949,"0,00",MYSTERY,9,False,"100,00",6,"135,00","0,00"
2024-09-29,"10,00","20,00",False,1923,2564,"0,00",NORMAL,8,False,"125,00",5,"80,00","0,00"
2024-09-29,"10,00","10,00",False,864,1124,"0,00",MYSTERY,8,False,"125,00",5,"75,00","0,00"
2024-09-29,"5,00","5,00",True,34,609,"23,77",PKO,6,False,"100,00",5,"65,00","7,00"
2024-09-29,"5,00","5,00",False,225,1263,"0,00",NORMAL,9,False,"125,00",5,"58,00","0,00"
2024-09-30,"10,00","10,00",False,133,583,"6,75",PKO,6,False,"84,00",5,"43,00","0,00"
2024-09-30,"10,00","10,00",False,86,154,"0,00",PKO,6,False,"40,00",3,"24,00","0,00"
2024-09-30,"5,00","5,00",False,246,643,"0,00",NORMAL,6,False,"50,00",5,"44,00","0,00"
2024-09-30,"5,00","5,00",False,236,845,"0,00",MYSTERY,6,False,"57,00",3,"18,00","0,00"
2024-09-30,"5,00","5,00",False,106,268,"0,00",PKO,6,False,"25,00",5,"7,00","0,00"
2024-10-01,"5,00","5,00",False,784,2044,"0,00",MYSTERY,8,False,"20,00",8,"30,00","0,00"
2024-10-01,"10,00","10,00",True,202,3412,"36,55",MYSTERY,8,False,"100,00",8,"120,00","39,00"
2024-10-01,"5,00","5,00",False,103,528,"1,13",PKO,6,False,"83,00",8,"90,00","0,00"
2024-10-02,"10,00","20,00",True,130,1502,"18,93",MYSTERY,8,False,"100,00",5,"65,00","37,00"
2024-10-02,"5,00","5,00",True,1,170,"0,00",SAT,8,True,"200,00",6,"87,00","40,00"
2024-10-02,"5,00","10,00",False,646,785,"0,00",NORMAL,9,False,"500,00",5,"90,00","0,00"
2024-10-03,"10,00","10,00",False,239,545,"0,00",PKO,6,False,"100,00",4,"65,00","0,00"
2024-10-03,"5,00","10,00",False,321,415,"0,00",PKO,9,False,"100,00",5,"42,00","0,00"
2024-10-03,"10,00","20,00",False,79,96,"0,00",PKO,6,False,"100,00",5,"34,00","0,00"
2024-10-03,"10,00","10,00",False,838,1221,"0,00",MYSTERY,8,False,"50,00",5,"37,00","0,00"
2024-10-03,"5,00","10,00",False,607,1355,"0,00",NORMAL,9,False,"312,00",5,"80,00","0,00"
2024-10-03,"10,00","10,00",True,41,296,"16,44",NORMAL,6,False,"68,00",5,"56,00","22,00"
2024-10-04,"10,00","10,00",True,25,558,"36,94",PKO,6,False,"24,00",5,"25,00","91,00"
2024-10-06,"5,00","5,00",False,265,619,"0,00",NORMAL,6,False,"19,00",5,"12,00","0,00"
2024-10-06,"5,00","5,00",False,236,465,"0,00",PKO,6,False,"40,00",5,"28,00","0,00"
2024-10-06,"10,00","10,00",False,109,189,"0,00",PKO,6,False,"66,00",5,"24,00","0,00"
2024-10-06,"50,00","5,00",False,2696,6754,"0,00",MYSTERY,6,False,"157,00",20,"12,00","0,00"
2024-10-06,"10,00","10,00",False,726,783,"0,00",MYSTERY,8,False,"125,00",8,"115,00","0,00"
2024-10-06,"10,00","10,00",False,3032,6453,"0,00",MYSTERY,9,False,"100,00",8,"82,00","0,00"
2024-10-06,"20,00","20,00",False,236,786,"6,75",PKO,8,False,"125,00",10,"167,00","0,00"
2024-10-06,"5,00","5,00",False,1282,2111,"0,00",MYSTERY,8,False,"50,00",8,"69,00","0,00"
2024-10-06,"20,00","20,00",False,163,205,"0,00",PKO,6,False,"167,00",8,"79,00","0,00"
2024-10-06,"10,00","10,00",True,250,1704,"15,73",MYSTERY,8,False,"125,00",5,"75,00","6,00"
2024-10-06,"5,00","5,00",False,436,1334,"0,00",NORMAL,9,False,"500,00",5,"90,00","0,00"
2024-10-07,"10,00","10,00",False,216,444,"2,25",PKO,6,False,"100,00",5,"51,00","0,00"
2024-10-07,"5,00","5,00",False,601,1432,"0,00",PKO,6,False,"100,00",5,"50,00","0,00"
2024-10-07,"5,00","5,00",False,156,254,"1,13",PKO,9,False,"66,00",5,"33,00","0,00"
2024-10-07,"5,00","5,00",False,225,332,"0,00",NORMAL,6,False,"125,00",5,"77,00","0,00"
2024-10-07,"5,00","5,00",False,244,614,"0,00",NORMAL,6,False,"100,00",10,"105,00","0,00"
2024-10-07,"10,00","10,00",True,41,302,"14,04",PKO,9,False,"50,00",10,"78,00","34,00"
2024-10-08,"10,00","10,00",False,542,963,"0,00",MYSTERY,8,False,"71,00",8,"89,00","0,00"
2024-10-08,"10,00","10,00",False,141,170,"0,00",PKO,6,False,"125,00",8,"100,00","0,00"
2024-10-08,"10,00","10,00",False,341,624,"0,00",PKO,6,False,"200,00",8,"120,00","0,00"
2024-10-08,"5,00","10,00",True,88,1045,"14,02",NORMAL,6,False,"200,00",10,"150,00","70,00"
2024-10-08,"5,00","5,00",True,327,2263,"7,95",MYSTERY,8,False,"125,00",8,"120,00","10,00"
2024-10-08,"5,00","5,00",False,398,546,"0,00",PKO,6,False,"83,00",8,"84,00","0,00"
2024-10-08,"10,00","10,00",False,1587,2902,"0,00",MYSTERY,8,False,"200,00",8,"150,00","0,00"
2024-10-08,"5,00","5,00",True,55,540,"8,92",PKO,6,False,"100,00",8,"120,00","59,00"
2024-10-08,"10,00","10,00",False,865,1299,"0,00",MYSTERY,8,False,"125,00",8,"115,00","0,00"
2024-10-08,"10,00","10,00",False,398,616,"0,00",PKO,8,False,"200,00",7,"120,00","0,00"
2024-10-08,"10,00","10,00",False,397,1617,"0,00",MYSTERY,8,False,"125,00",5,"75,00","0,00"
2024-10-08,"5,00","5,00",False,337,1387,"0,00",NORMAL,8,False,"500,00",5,"90,00","0,00"
2024-10-09,"20,00","20,00",False,104,157,"0,00",NORMAL,8,False,"25,00",3,"15,00","0,00"
2024-10-09,"10,00","10,00",False,301,425,"0,00",PKO,6,False,"66,00",4,"38,00","0,00"
2024-10-09,"5,00","5,00",False,242,432,"0,00",PKO,9,False,"83,00",5,"37,00","0,00"
2024-10-09,"5,00","5,00",False,181,343,"0,00",NORMAL,6,False,"50,00",5,"47,00","0,00"
2024-10-09,"5,00","10,00",False,295,560,"0,00",NORMAL,6,False,"50,00",10,"62,00","0,00"
2024-10-09,"1,00","1,00",False,150,480,"2,60",PKO,6,False,"100,00",8,"89,00","0,00"
2024-10-09,"5,00","5,00",False,58,110,"0,00",PKO,6,False,"25,00",5,"27,00","0,00"
2024-10-09,"10,00","10,00",False,811,1523,"0,00",MYSTERY,8,False,"83,00",5,"58,00","0,00"
2024-10-09,"5,00","5,00",False,294,458,"0,00",PKO,6,False,"100,00",5,"69,00","0,00"
2024-10-09,"5,00","5,00",True,108,1292,"11,98",NORMAL,9,False,"166,00",5,"64,00","24,40"
2024-10-09,"3,00","3,00",False,137,220,"0,00",PKO,8,False,"160,00",8,"116,00","0,00"
2024-10-10,"5,00","5,00",False,204,260,"0,00",PKO,8,False,"200,00",5,"55,00","0,00"
2024-10-10,"5,00","5,00",False,121,262,"0,00",NORMAL,6,False,"32,00",5,"31,00","0,00"
2024-10-10,"5,00","5,00",False,101,198,"0,00",PKO,9,False,"125,00",8,"66,00","0,00"
2024-10-10,"5,00","5,00",False,184,807,"4,51",PKO,6,False,"28,00",7,"18,00","0,00"
2024-10-10,"10,00","10,00",False,355,702,"0,00",PKO,6,False,"66,00",8,"73,00","0,00"
2024-10-10,"5,00","5,00",False,48,159,"0,00",PKO,9,False,"167,00",6,"78,00","0,00"
2024-10-10,"5,00","5,00",False,51,258,"0,00",NORMAL,6,False,"100,00",10,"118,00","0,00"
2024-10-10,"5,00","5,00",False,529,1082,"0,00",PKO,8,False,"100,00",3,"35,00","0,00"
2024-10-10,"5,00","5,00",False,164,250,"0,00",PKO,6,False,"200,00",10,"120,00","0,00"
2024-10-10,"5,00","5,00",False,864,1739,"0,00",MYSTERY,8,False,"100,00",8,"107,00","0,00"
2024-10-10,"5,00","5,00",False,201,971,"0,00",NORMAL,6,False,"70,00",10,"75,00","0,00"
2024-10-10,"10,00","10,00",False,721,1708,"9,01",PKO,8,False,"83,00",8,"110,00","0,00"
2024-10-10,"5,00","5,00",True,438,2676,"8,01",MYSTERY,8,False,"125,00",8,"120,00","0,00"
2024-10-10,"5,00","5,00",False,206,972,"0,00",NORMAL,9,False,"500,00",5,"90,00","0,00"
2024-10-10,"5,00","5,00",False,312,560,"0,00",PKO,6,False,"24,00",5,"24,00","0,00"
2024-10-12,"10,00","10,00",True,121,2054,"36,85",MYSTERY,8,False,"73,00",8,"87,00","32,00"
2024-10-12,"10,00","10,00",False,207,613,"4,50",PKO,8,False,"125,00",8,"100,00","0,00"
